rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
126,frame_0186.jpg,74.4,0.476,0.561,0.625,0.04,10,5,False,False
127,frame_0202.jpg,80.8,0.4754,0.4108,0.5,0.6,5,4,False,False
128,frame_0374.jpg,149.6,0.475,0.57,0.5,0.2,12,4,False,False
129,frame_0376.jpg,150.4,0.4747,0.8103,0.125,0.16,9,1,False,False
130,frame_0295.jpg,118.0,0.4736,0.6002,0.125,0.68,5,1,False,False
131,frame_0201.jpg,80.4,0.4718,0.4946,0.375,0.56,3,3,False,False
132,frame_0209.jpg,83.6,0.471,0.504,0.25,0.72,4,2,False,False
133,frame_0096.jpg,38.4,0.4691,0.6652,0.375,0.12,8,3,False,False
134,frame_0120.jpg,48.0,0.4687,0.5043,0.375,0.52,5,3,False,False
135,frame_0113.jpg,45.2,0.4662,0.4613,0.625,0.24,7,5,False,False
136,frame_0282.jpg,112.8,0.4654,0.5887,0.25,0.48,6,2,False,False
137,frame_0032.jpg,12.8,0.4647,0.3793,0.25,1.0,8,2,False,False
138,frame_0208.jpg,83.2,0.4647,0.4003,0.375,0.76,4,3,False,False
139,frame_0125.jpg,50.0,0.4625,0.487,0.25,0.72,6,2,False,False
140,frame_0280.jpg,112.0,0.4615,0.613,0.25,0.4,6,2,False,False
141,frame_0083.jpg,33.2,0.4602,0.5143,0.25,0.64,3,2,False,False
142,frame_0398.jpg,159.2,0.456,0.5911,0.375,0.24,9,3,False,False
143,frame_0188.jpg,75.2,0.4552,0.5943,0.5,0.04,9,4,False,False
144,frame_0023.jpg,9.2,0.455,0.435,0.125,1.0,2,1,False,False
145,frame_0028.jpg,11.2,0.454,0.3579,0.25,1.0,5,2,False,False
146,frame_0176.jpg,70.4,0.454,0.512,0.5,0.24,7,4,False,False
147,frame_0179.jpg,71.6,0.4526,0.6323,0.375,0.12,7,3,False,False
148,frame_0200.jpg,80.0,0.4518,0.5457,0.25,0.52,2,2,False,False
149,frame_0305.jpg,122.0,0.4515,0.491,0.5,0.28,5,4,False,False
150,frame_0223.jpg,89.2,0.451,0.538,0.5,0.16,6,4,False,False
151,frame_0333.jpg,133.2,0.4497,0.5675,0.5,0.08,8,4,False,False
152,frame_0024.jpg,9.6,0.444,0.413,0.125,1.0,2,1,False,False
153,frame_0019.jpg,7.6,0.4412,0.4074,0.125,1.0,2,1,False,False
154,frame_0391.jpg,156.4,0.4399,0.5638,0.5,0.04,8,4,False,False
155,frame_0203.jpg,81.2,0.4384,0.3957,0.375,0.64,3,3,False,False
156,frame_0112.jpg,44.8,0.4383,0.5715,0.375,0.2,5,3,False,False
157,frame_0395.jpg,158.0,0.4371,0.4511,0.625,0.12,8,5,False,False
158,frame_0303.jpg,121.2,0.4317,0.4944,0.375,0.36,5,3,False,False
159,frame_0185.jpg,74.0,0.4314,0.6057,0.375,0.08,9,3,False,False
160,frame_0084.jpg,33.6,0.431,0.4721,0.25,0.6,3,2,False,False
161,frame_0181.jpg,72.4,0.4302,0.5444,0.5,0.04,6,4,False,False
162,frame_0314.jpg,125.6,0.4276,0.5232,0.5,0.08,6,4,False,False
163,frame_0097.jpg,38.8,0.4262,0.5204,0.5,0.08,6,4,False,False
164,frame_0268.jpg,107.2,0.4262,0.5203,0.5,0.08,6,4,False,False
165,frame_0317.jpg,126.8,0.4242,0.6184,0.25,0.2,9,2,False,False
166,frame_0214.jpg,85.6,0.4239,0.4898,0.25,0.52,3,2,False,False
167,frame_0308.jpg,123.2,0.4234,0.5578,0.375,0.16,7,3,False,False
168,frame_0012.jpg,4.8,0.4186,0.2871,0.25,1.0,4,2,False,False
169,frame_0116.jpg,46.4,0.4186,0.5432,0.25,0.36,9,2,False,False
170,frame_0010.jpg,4.0,0.4151,0.4301,0.0,1.0,3,0,False,False
171,frame_0017.jpg,6.8,0.4147,0.3543,0.125,1.0,6,1,False,False
172,frame_0088.jpg,35.2,0.4137,0.5014,0.25,0.44,8,2,False,False
173,frame_0086.jpg,34.4,0.4102,0.3874,0.375,0.52,6,3,False,False
174,frame_0177.jpg,70.8,0.4099,0.5148,0.375,0.2,7,3,False,False
175,frame_0172.jpg,68.8,0.4092,0.4333,0.375,0.4,7,3,False,False
176,frame_0197.jpg,78.8,0.4058,0.5766,0.125,0.4,1,1,False,False
177,frame_0022.jpg,8.8,0.4049,0.2598,0.25,1.0,4,2,False,False
178,frame_0299.jpg,119.6,0.4046,0.3763,0.375,0.52,7,3,False,False
179,frame_0222.jpg,88.8,0.4036,0.4272,0.5,0.2,6,4,False,False
180,frame_0117.jpg,46.8,0.4012,0.4925,0.25,0.4,6,2,False,False
181,frame_0104.jpg,41.6,0.4009,0.6038,0.25,0.12,5,2,False,False
182,frame_0090.jpg,36.0,0.3987,0.5035,0.25,0.36,8,2,False,False
183,frame_0121.jpg,48.4,0.3972,0.3453,0.375,0.56,5,3,False,False
184,frame_0118.jpg,47.2,0.3963,0.3915,0.375,0.44,7,3,False,False
185,frame_0321.jpg,128.4,0.3961,0.4122,0.5,0.2,8,4,False,False
186,frame_0309.jpg,123.6,0.3959,0.4438,0.5,0.12,6,4,False,False
187,frame_0087.jpg,34.8,0.3944,0.5218,0.125,0.48,6,1,False,False
188,frame_0394.jpg,157.6,0.3932,0.5295,0.375,0.08,7,3,False,False
